text,timestamp
👏👏,2023-09-06T12:31:53.000Z
Gostaria de saber do certificado do curso que fiz de limpeza facial no macapaba? Nunca recebi 😐😐,2023-09-06T12:34:32.000Z
Parabéns ao coordenador @ianmowbray pelo trabalho e empenho 👏👏💪💪 é a Prefeitura de Macapá de coração pelo nosso povo! 💪,2023-09-06T12:40:35.000Z
👏👏👏👏,2023-09-06T12:44:07.000Z
Quero de informática word 5 meses tem que ser o tempo de duração pq é muita coisa pra aprender logo🙌 vou tá ligada quando tiver!,2023-09-06T12:46:40.000Z
Posso me inscrever em mais de um ?,2023-09-06T12:50:46.000Z
"👏👏👏 gestao eficiente fornecendo crescimento profissional para seus munícipes, parabéns @ianmowbray e secretário @costajr.raimundo!",2023-09-06T12:51:03.000Z
@karinalinzs 👏,2023-09-06T12:52:51.000Z
